"param_comb_id","k","accuracy","f1","auc","recall","precision","brier_score","balanced_accuracy","discrepancy","default"
1,1,0.915,0.954907161803713,0.612554112554113,0.952380952380952,0.957446808510638,0.085,0.952380952380952,0.02,FALSE
2,2,0.915,0.954907161803713,0.648148148148148,0.952380952380952,0.957446808510638,0.0729187451550188,0.952380952380952,0.02,FALSE
3,3,0.915,0.954907161803713,0.724386724386724,0.952380952380952,0.957446808510638,0.062715075346214,0.952380952380952,0.02,FALSE
4,4,0.915,0.954907161803713,0.802308802308802,0.952380952380952,0.957446808510638,0.0561268755457625,0.952380952380952,0.02,FALSE
5,5,0.915,0.954907161803713,0.800625300625301,0.952380952380952,0.957446808510638,0.0522297109822959,0.952380952380952,0.02,FALSE
6,6,0.93,0.963157894736842,0.84030784030784,0.968253968253968,0.958115183246073,0.0496584339413801,0.968253968253968,0.005,FALSE
7,7,0.935,0.965879265091864,0.838864838864839,0.973544973544973,0.958333333333333,0.0480026652329822,0.973544973544973,NA,TRUE
8,8,0.94,0.968586387434555,0.840788840788841,0.978835978835979,0.958549222797927,0.0469947227095822,0.978835978835979,0.005,FALSE
9,9,0.945,0.971279373368146,0.840788840788841,0.984126984126984,0.958762886597938,0.0462733438771442,0.984126984126984,0.01,FALSE
10,10,0.95,0.973958333333333,0.841510341510342,0.989417989417989,0.958974358974359,0.0456397779552532,0.989417989417989,0.015,FALSE
11,11,0.95,0.973958333333333,0.843434343434343,0.989417989417989,0.958974358974359,0.0449701098830679,0.989417989417989,0.015,FALSE
12,12,0.95,0.973958333333333,0.845358345358345,0.989417989417989,0.958974358974359,0.0443080624530829,0.989417989417989,0.015,FALSE
13,13,0.95,0.973958333333333,0.846801346801347,0.989417989417989,0.958974358974359,0.0437271833645812,0.989417989417989,0.015,FALSE
14,14,0.95,0.973958333333333,0.844396344396344,0.989417989417989,0.958974358974359,0.0432372579421036,0.989417989417989,0.015,FALSE
15,15,0.95,0.973958333333333,0.846079846079846,0.989417989417989,0.958974358974359,0.0428190896492155,0.989417989417989,0.015,FALSE
16,16,0.95,0.973958333333333,0.844155844155844,0.989417989417989,0.958974358974359,0.0424484444802295,0.989417989417989,0.015,FALSE
17,17,0.95,0.973958333333333,0.845117845117845,0.989417989417989,0.958974358974359,0.0421325192050696,0.989417989417989,0.015,FALSE
18,18,0.945,0.971428571428571,0.845598845598846,0.989417989417989,0.954081632653061,0.0418727810031521,0.989417989417989,0.02,FALSE
19,19,0.94,0.96875,0.843674843674844,0.984126984126984,0.953846153846154,0.041655462659802,0.984126984126984,0.025,FALSE
20,20,0.94,0.96875,0.843674843674844,0.984126984126984,0.953846153846154,0.0414738748965301,0.984126984126984,0.025,FALSE
21,21,0.945,0.971428571428571,0.843674843674844,0.989417989417989,0.954081632653061,0.0413180272116041,0.989417989417989,0.03,FALSE
22,22,0.945,0.971428571428571,0.842712842712843,0.989417989417989,0.954081632653061,0.0411872460166528,0.989417989417989,0.03,FALSE
23,23,0.945,0.971428571428571,0.875180375180375,0.989417989417989,0.954081632653061,0.0410567981519189,0.989417989417989,0.03,FALSE
24,24,0.945,0.971428571428571,0.875420875420875,0.989417989417989,0.954081632653061,0.0409198008307089,0.989417989417989,0.03,FALSE
25,25,0.945,0.971428571428571,0.874458874458874,0.989417989417989,0.954081632653061,0.0407871421071271,0.989417989417989,0.03,FALSE
26,26,0.945,0.971428571428571,0.873977873977874,0.989417989417989,0.954081632653061,0.0406627754327392,0.989417989417989,0.03,FALSE
27,27,0.945,0.971428571428571,0.873977873977874,0.989417989417989,0.954081632653061,0.0405554125339665,0.989417989417989,0.03,FALSE
28,28,0.945,0.971428571428571,0.873256373256373,0.989417989417989,0.954081632653061,0.0404770526656222,0.989417989417989,0.03,FALSE
29,29,0.945,0.971428571428571,0.873015873015873,0.989417989417989,0.954081632653061,0.0404069435786311,0.989417989417989,0.03,FALSE
30,30,0.945,0.971428571428571,0.874458874458874,0.989417989417989,0.954081632653061,0.0403322128070721,0.989417989417989,0.03,FALSE
