"param_comb_id","k","accuracy","f1","auc","recall","precision","brier_score","balanced_accuracy","discrepancy","default"
1,1,0.994871794871795,0.996138996138996,0.992424242424242,1,0.992307692307692,0.00512820512820513,1,0,FALSE
2,2,0.994871794871795,0.996138996138996,0.992424242424242,1,0.992307692307692,0.00526048208549541,1,0,FALSE
3,3,0.994871794871795,0.996138996138996,0.992424242424242,1,0.992307692307692,0.00565120087287836,1,0,FALSE
4,4,0.994871794871795,0.996138996138996,0.992306788818417,1,0.992307692307692,0.00597403167495328,1,0,FALSE
5,5,0.994871794871795,0.996138996138996,0.992189335212591,1,0.992307692307692,0.00622460096379851,1,0,FALSE
6,6,0.994871794871795,0.996138996138996,0.992189335212591,1,0.992307692307692,0.00642452024022364,1,0,FALSE
7,7,0.994871794871795,0.996138996138996,0.992130608409678,1,0.992307692307692,0.00656801189481493,1,NA,TRUE
8,8,0.994871794871795,0.996138996138996,0.992071881606765,1,0.992307692307692,0.00672220518256975,1,0,FALSE
9,9,0.994871794871795,0.996138996138996,0.992013154803852,1,0.992307692307692,0.00692161020761705,1,0,FALSE
10,10,0.994871794871795,0.996138996138996,0.992013154803852,1,0.992307692307692,0.00715885135494954,1,0,FALSE
11,11,0.994871794871795,0.996138996138996,0.992013154803852,1,0.992307692307692,0.00739174299568135,1,0,FALSE
12,12,0.994871794871795,0.996138996138996,0.991895701198027,1,0.992307692307692,0.00762695810332146,1,0,FALSE
13,13,0.994871794871795,0.996138996138996,0.991719520789288,1,0.992307692307692,0.00788689213211885,1,0,FALSE
14,14,0.994871794871795,0.996138996138996,0.99154334038055,1,0.992307692307692,0.00816418043396724,1,0,FALSE
15,15,0.994871794871795,0.996138996138996,0.991367159971811,1,0.992307692307692,0.00843681914221305,1,0,FALSE
16,16,0.994871794871795,0.996138996138996,0.991308433168898,1,0.992307692307692,0.00869875670200729,1,0,FALSE
17,17,0.994871794871795,0.996138996138996,0.99113225276016,1,0.992307692307692,0.00896755130693051,1,0,FALSE
18,18,0.994871794871795,0.996138996138996,0.991073525957247,1,0.992307692307692,0.00924141709756382,1,0,FALSE
19,19,0.994871794871795,0.996138996138996,0.991073525957247,1,0.992307692307692,0.00952408704688476,1,0,FALSE
20,20,0.994871794871795,0.996138996138996,0.991014799154334,1,0.992307692307692,0.00982820664191013,1,0,FALSE
21,21,0.994871794871795,0.996138996138996,0.990956072351421,1,0.992307692307692,0.0101421850771089,1,0,FALSE
22,22,0.994871794871795,0.996138996138996,0.990897345548508,1,0.992307692307692,0.0104575772299129,1,0,FALSE
23,23,0.994871794871795,0.996138996138996,0.990779891942683,1,0.992307692307692,0.0107859508861014,1,0,FALSE
24,24,0.994871794871795,0.996138996138996,0.990662438336857,1,0.992307692307692,0.0111258494224365,1,0,FALSE
25,25,0.994871794871795,0.996138996138996,0.990544984731031,1,0.992307692307692,0.0114736632990445,1,0,FALSE
26,26,0.994871794871795,0.996138996138996,0.990368804322293,1,0.992307692307692,0.0118229693648465,1,0,FALSE
27,27,0.994871794871795,0.996138996138996,0.990251350716467,1,0.992307692307692,0.0121756690368135,1,0,FALSE
28,28,0.994871794871795,0.996138996138996,0.990192623913554,1,0.992307692307692,0.0125372877718738,1,0,FALSE
29,29,0.994871794871795,0.996138996138996,0.990016443504816,1,0.992307692307692,0.0128989295294288,1,0,FALSE
30,30,0.994871794871795,0.996138996138996,0.98989898989899,1,0.992307692307692,0.0132618600100526,1,0,FALSE
