"param_comb_id","k","accuracy","f1","auc","recall","precision","brier_score","balanced_accuracy","discrepancy","default"
1,1,0.86,0.920454545454545,0.650997007296816,0.939675174013921,0.902004454342984,0.14,0.939675174013921,0.042,FALSE
2,2,0.86,0.920454545454545,0.706513332660816,0.939675174013921,0.902004454342984,0.122459774565017,0.939675174013921,0.042,FALSE
3,3,0.86,0.920454545454545,0.788274656175393,0.939675174013921,0.902004454342984,0.108167504953187,0.939675174013921,0.042,FALSE
4,4,0.86,0.920454545454545,0.808954571438179,0.939675174013921,0.902004454342984,0.0989828317415118,0.939675174013921,0.042,FALSE
5,5,0.882,0.934371523915462,0.811106627660648,0.974477958236659,0.897435897435897,0.0936327093511669,0.974477958236659,0.004,FALSE
6,6,0.886,0.936736958934517,0.818958270284811,0.979118329466357,0.897872340425532,0.0900918510761667,0.979118329466357,0,FALSE
7,7,0.886,0.936736958934517,0.827885941020209,0.979118329466357,0.897872340425532,0.0873258073753704,0.979118329466357,NA,TRUE
8,8,0.884,0.935840707964602,0.840630148962642,0.981438515081206,0.894291754756871,0.0851550527628017,0.981438515081206,0.006,FALSE
9,9,0.884,0.936123348017621,0.85229832879384,0.986078886310905,0.890985324947589,0.083472930391058,0.986078886310905,0.014,FALSE
10,10,0.888,0.938461538461538,0.853122162816504,0.990719257540603,0.891440501043841,0.0821499609700702,0.990719257540603,0.018,FALSE
11,11,0.886,0.937431394072448,0.855055650828878,0.990719257540603,0.889583333333333,0.0811668916813476,0.990719257540603,0.02,FALSE
12,12,0.888,0.93859649122807,0.85512290258583,0.993039443155452,0.88981288981289,0.0804348885751631,0.993039443155452,0.022,FALSE
13,13,0.89,0.939626783754116,0.859309324456101,0.993039443155452,0.891666666666667,0.079864065213128,0.993039443155452,0.024,FALSE
14,14,0.89,0.939626783754116,0.860166784357241,0.993039443155452,0.891666666666667,0.0793998770368876,0.993039443155452,0.024,FALSE
15,15,0.89,0.939626783754116,0.863529372204849,0.993039443155452,0.891666666666667,0.0790005587704898,0.993039443155452,0.024,FALSE
16,16,0.89,0.939626783754116,0.864437270923703,0.993039443155452,0.891666666666667,0.0786994071305915,0.993039443155452,0.024,FALSE
17,17,0.888,0.93859649122807,0.865109788493224,0.993039443155452,0.88981288981289,0.0785010427757692,0.993039443155452,0.026,FALSE
18,18,0.888,0.93859649122807,0.866337133057601,0.993039443155452,0.88981288981289,0.0783280645442016,0.993039443155452,0.026,FALSE
19,19,0.888,0.93859649122807,0.869212145667306,0.993039443155452,0.88981288981289,0.0781668961348502,0.993039443155452,0.026,FALSE
20,20,0.888,0.93859649122807,0.8694307138774,0.993039443155452,0.88981288981289,0.0780183571936918,0.993039443155452,0.03,FALSE
21,21,0.888,0.93859649122807,0.869632469148257,0.993039443155452,0.88981288981289,0.0778468285324389,0.993039443155452,0.03,FALSE
22,22,0.886,0.937568455640745,0.87020410908235,0.993039443155452,0.887966804979253,0.0776740469397391,0.993039443155452,0.032,FALSE
23,23,0.886,0.937568455640745,0.870405864353206,0.993039443155452,0.887966804979253,0.0775254637970536,0.993039443155452,0.032,FALSE
24,24,0.886,0.937568455640745,0.871465079525203,0.993039443155452,0.887966804979253,0.0773993792009352,0.993039443155452,0.032,FALSE
25,25,0.886,0.937568455640745,0.871212885436632,0.993039443155452,0.887966804979253,0.0772910870395231,0.993039443155452,0.032,FALSE
26,26,0.886,0.937568455640745,0.871296950132822,0.993039443155452,0.887966804979253,0.077191266603221,0.993039443155452,0.032,FALSE
27,27,0.886,0.937568455640745,0.872036719459296,0.993039443155452,0.887966804979253,0.0771112355091691,0.993039443155452,0.032,FALSE
28,28,0.886,0.937568455640745,0.872221661790914,0.993039443155452,0.887966804979253,0.0770540764999165,0.993039443155452,0.032,FALSE
29,29,0.886,0.937568455640745,0.8721712229732,0.993039443155452,0.887966804979253,0.0770210817130668,0.993039443155452,0.032,FALSE
30,30,0.886,0.937568455640745,0.873095934631292,0.993039443155452,0.887966804979253,0.0770131872052936,0.993039443155452,0.032,FALSE
