"param_comb_id","k","accuracy","f1","auc","recall","precision","brier_score","balanced_accuracy","discrepancy","default"
1,1,0.800947867298578,0.880681818181818,0.656362007168459,0.861111111111111,0.901162790697674,0.199052132701422,0.861111111111111,0.0758293838862559,FALSE
2,2,0.805687203791469,0.88385269121813,0.710483870967742,0.866666666666667,0.901734104046243,0.17110670043375,0.866666666666667,0.0710900473933649,FALSE
3,3,0.805687203791469,0.88385269121813,0.725985663082437,0.866666666666667,0.901734104046243,0.153352911155765,0.866666666666667,0.0710900473933649,FALSE
4,4,0.800947867298578,0.880681818181818,0.744354838709677,0.861111111111111,0.901162790697674,0.14446139599054,0.861111111111111,0.0758293838862559,FALSE
5,5,0.834123222748815,0.903581267217631,0.750268817204301,0.911111111111111,0.896174863387978,0.133808974239738,0.911111111111111,0.014218009478673,FALSE
6,6,0.838862559241706,0.906593406593407,0.749193548387097,0.916666666666667,0.896739130434783,0.127745214385105,0.916666666666667,0,FALSE
7,7,0.838862559241706,0.906593406593407,0.75089605734767,0.916666666666667,0.896739130434783,0.124923955448814,0.916666666666667,NA,TRUE
8,8,0.834123222748815,0.905149051490515,0.75510752688172,0.927777777777778,0.883597883597884,0.122959115922726,0.927777777777778,0.023696682464455,FALSE
9,9,0.834123222748815,0.905149051490515,0.762724014336918,0.927777777777778,0.883597883597884,0.120910031967076,0.927777777777778,0.023696682464455,FALSE
10,10,0.834123222748815,0.905149051490515,0.782616487455197,0.927777777777778,0.883597883597884,0.119345699987286,0.927777777777778,0.023696682464455,FALSE
11,11,0.834123222748815,0.905149051490515,0.780555555555556,0.927777777777778,0.883597883597884,0.118766369357065,0.927777777777778,0.023696682464455,FALSE
12,12,0.829383886255924,0.902702702702703,0.780824372759857,0.927777777777778,0.878947368421053,0.117434998647186,0.927777777777778,0.028436018957346,FALSE
13,13,0.829383886255924,0.902702702702703,0.778584229390681,0.927777777777778,0.878947368421053,0.117656926302915,0.927777777777778,0.028436018957346,FALSE
14,14,0.829383886255924,0.902702702702703,0.773924731182796,0.927777777777778,0.878947368421053,0.117079328469569,0.927777777777778,0.028436018957346,FALSE
15,15,0.834123222748815,0.905660377358491,0.773566308243728,0.933333333333333,0.879581151832461,0.116457695346617,0.933333333333333,0.033175355450237,FALSE
16,16,0.834123222748815,0.905660377358491,0.771953405017921,0.933333333333333,0.879581151832461,0.116202924938669,0.933333333333333,0.033175355450237,FALSE
17,17,0.834123222748815,0.905660377358491,0.772670250896057,0.933333333333333,0.879581151832461,0.115841269351308,0.933333333333333,0.033175355450237,FALSE
18,18,0.838862559241706,0.908602150537634,0.772222222222222,0.938888888888889,0.880208333333333,0.115095264076635,0.938888888888889,0.037914691943128,FALSE
19,19,0.838862559241706,0.908602150537634,0.776344086021505,0.938888888888889,0.880208333333333,0.114834932213958,0.938888888888889,0.037914691943128,FALSE
20,20,0.838862559241706,0.908602150537634,0.776702508960573,0.938888888888889,0.880208333333333,0.114681626798724,0.938888888888889,0.037914691943128,FALSE
21,21,0.838862559241706,0.909090909090909,0.777060931899642,0.944444444444444,0.876288659793814,0.114335983000812,0.944444444444444,0.04739336492891,FALSE
22,22,0.838862559241706,0.909090909090909,0.777329749103943,0.944444444444444,0.876288659793814,0.114192201223688,0.944444444444444,0.04739336492891,FALSE
23,23,0.843601895734597,0.912,0.775806451612903,0.95,0.876923076923077,0.114172028672129,0.95,0.0521327014218009,FALSE
24,24,0.843601895734597,0.912466843501326,0.774462365591398,0.955555555555556,0.873096446700508,0.114199021763292,0.955555555555556,0.0616113744075829,FALSE
25,25,0.843601895734597,0.912466843501326,0.773655913978495,0.955555555555556,0.873096446700508,0.114120014326888,0.955555555555556,0.0616113744075829,FALSE
26,26,0.843601895734597,0.912466843501326,0.776344086021505,0.955555555555556,0.873096446700508,0.113516264425986,0.955555555555556,0.0616113744075829,FALSE
27,27,0.843601895734597,0.912466843501326,0.778136200716846,0.955555555555556,0.873096446700508,0.113171128878065,0.955555555555556,0.0616113744075829,FALSE
28,28,0.843601895734597,0.912466843501326,0.778136200716846,0.955555555555556,0.873096446700508,0.112954511087502,0.955555555555556,0.0616113744075829,FALSE
29,29,0.843601895734597,0.912466843501326,0.778673835125448,0.955555555555556,0.873096446700508,0.112772445188522,0.955555555555556,0.0616113744075829,FALSE
30,30,0.843601895734597,0.912466843501326,0.778136200716846,0.955555555555556,0.873096446700508,0.112581745318363,0.955555555555556,0.0616113744075829,FALSE
