"param_comb_id","k","accuracy","f1","auc","recall","precision","brier_score","balanced_accuracy","discrepancy","default"
1,1,0.839622641509434,0.864,0.846590909090909,0.818181818181818,0.915254237288136,0.160377358490566,0.818181818181818,0.0471698113207547,FALSE
2,2,0.839622641509434,0.864,0.9,0.818181818181818,0.915254237288136,0.138123197033147,0.818181818181818,0.0471698113207547,FALSE
3,3,0.839622641509434,0.864,0.907765151515151,0.818181818181818,0.915254237288136,0.124421363746816,0.818181818181818,0.0471698113207547,FALSE
4,4,0.839622641509434,0.864,0.907575757575758,0.818181818181818,0.915254237288136,0.116835378045622,0.818181818181818,0.0471698113207547,FALSE
5,5,0.839622641509434,0.864,0.906628787878788,0.818181818181818,0.915254237288136,0.112172999785085,0.818181818181818,0.0471698113207547,FALSE
6,6,0.858490566037736,0.881889763779528,0.910416666666667,0.848484848484849,0.918032786885246,0.109321896040983,0.848484848484849,0.00943396226415094,FALSE
7,7,0.867924528301887,0.888888888888889,0.91875,0.848484848484849,0.933333333333333,0.107147480418085,0.848484848484849,NA,TRUE
8,8,0.877358490566038,0.89763779527559,0.919507575757576,0.863636363636364,0.934426229508197,0.105565550692995,0.863636363636364,0.00943396226415094,FALSE
9,9,0.877358490566038,0.89922480620155,0.925,0.878787878787879,0.920634920634921,0.104378999387004,0.878787878787879,0.0283018867924528,FALSE
10,10,0.877358490566038,0.89922480620155,0.926893939393939,0.878787878787879,0.920634920634921,0.103087892524765,0.878787878787879,0.0283018867924528,FALSE
11,11,0.886792452830189,0.907692307692308,0.928977272727273,0.893939393939394,0.921875,0.101797126295854,0.893939393939394,0.0377358490566038,FALSE
12,12,0.886792452830189,0.907692307692308,0.929924242424242,0.893939393939394,0.921875,0.100763382485153,0.893939393939394,0.0377358490566038,FALSE
13,13,0.886792452830189,0.907692307692308,0.93219696969697,0.893939393939394,0.921875,0.0999973011846647,0.893939393939394,0.0377358490566038,FALSE
14,14,0.886792452830189,0.907692307692308,0.933901515151515,0.893939393939394,0.921875,0.0995242577031407,0.893939393939394,0.0377358490566038,FALSE
15,15,0.886792452830189,0.907692307692308,0.934469696969697,0.893939393939394,0.921875,0.0992741072943343,0.893939393939394,0.0377358490566038,FALSE
16,16,0.89622641509434,0.914728682170543,0.934469696969697,0.893939393939394,0.936507936507937,0.0991752752043361,0.893939393939394,0.0283018867924528,FALSE
17,17,0.89622641509434,0.914728682170543,0.933712121212121,0.893939393939394,0.936507936507937,0.0991673168620392,0.893939393939394,0.0283018867924528,FALSE
18,18,0.89622641509434,0.914728682170543,0.934090909090909,0.893939393939394,0.936507936507937,0.0991214395753887,0.893939393939394,0.0283018867924528,FALSE
19,19,0.89622641509434,0.914728682170543,0.932954545454545,0.893939393939394,0.936507936507937,0.0990759441283004,0.893939393939394,0.0283018867924528,FALSE
20,20,0.89622641509434,0.914728682170543,0.932954545454545,0.893939393939394,0.936507936507937,0.0991144454799923,0.893939393939394,0.0283018867924528,FALSE
21,21,0.905660377358491,0.921875,0.933333333333333,0.893939393939394,0.951612903225806,0.0992079545092298,0.893939393939394,0.0377358490566038,FALSE
22,22,0.905660377358491,0.921875,0.933712121212121,0.893939393939394,0.951612903225806,0.0992818114484355,0.893939393939394,0.0377358490566038,FALSE
23,23,0.905660377358491,0.921875,0.934090909090909,0.893939393939394,0.951612903225806,0.0993745548192971,0.893939393939394,0.0377358490566038,FALSE
24,24,0.905660377358491,0.921875,0.933333333333333,0.893939393939394,0.951612903225806,0.0994681500152313,0.893939393939394,0.0377358490566038,FALSE
25,25,0.905660377358491,0.921875,0.934469696969697,0.893939393939394,0.951612903225806,0.0995426458888785,0.893939393939394,0.0377358490566038,FALSE
26,26,0.905660377358491,0.921875,0.934090909090909,0.893939393939394,0.951612903225806,0.0995742792873269,0.893939393939394,0.0377358490566038,FALSE
27,27,0.905660377358491,0.921875,0.932954545454545,0.893939393939394,0.951612903225806,0.0996064126963416,0.893939393939394,0.0377358490566038,FALSE
28,28,0.905660377358491,0.921875,0.93219696969697,0.893939393939394,0.951612903225806,0.0996534955457504,0.893939393939394,0.0377358490566038,FALSE
29,29,0.905660377358491,0.921875,0.932575757575758,0.893939393939394,0.951612903225806,0.0996838405031843,0.893939393939394,0.0377358490566038,FALSE
30,30,0.905660377358491,0.921875,0.932575757575758,0.893939393939394,0.951612903225806,0.0997166163383423,0.893939393939394,0.0377358490566038,FALSE
