"param_comb_id","eta","max_depth","subsample","min_child_weight","colsample_bytree","colsample_bylevel","lambda","alpha","accuracy","f1","auc","recall","precision","discrepancy","default"
1,1,1,0.1,1,0,0,0.0009765625,0.0009765625,0.96734693877551,0.983402489626556,0.511603375527426,1,0.96734693877551,0.0163265306122449,FALSE
2,1,1,0.1,1,0,0,0.0009765625,0.0009765625,0.918367346938776,0.956989247311828,0.183412447257384,0.938818565400844,0.975877192982456,0.0653061224489796,FALSE
3,1,1,0.1,1,0,0,0.0009765625,0.0009765625,0.93265306122449,0.964781216648879,0.223760548523207,0.953586497890295,0.976241900647948,0.063265306122449,FALSE
4,1,1,0.1,1,0,0,0.0009765625,0.0009765625,0.93265306122449,0.964930924548353,0.22356276371308,0.957805907172996,0.972162740899358,0.0469387755102041,FALSE
5,1,1,0.55,1,0,0,0.0009765625,0.0009765625,0.96734693877551,0.983402489626556,0.380867616033755,1,0.96734693877551,0.0163265306122449,FALSE
6,1,1,0.55,1,0,0,0.0009765625,0.0009765625,0.953061224489796,0.975763962065332,0.182225738396624,0.976793248945148,0.974736842105263,0.0306122448979592,FALSE
7,1,1,0.55,1,0,0,0.0009765625,0.0009765625,0.963265306122449,0.981052631578947,0.167721518987342,0.983122362869198,0.978991596638655,0.0326530612244898,FALSE
8,1,1,0.55,1,0,0,0.0009765625,0.0009765625,0.957142857142857,0.977824709609292,0.198048523206751,0.976793248945148,0.978858350951374,0.0387755102040816,FALSE
9,1,1,1,1,0,0,0.0009765625,0.0009765625,0.96734693877551,0.983402489626556,0.483649789029536,1,0.96734693877551,0.0163265306122449,FALSE
10,1,1,1,1,0,0,0.0009765625,0.0009765625,0.961224489795918,0.9800629590766,0.193697257383966,0.985232067510548,0.974947807933194,0.0183673469387755,FALSE
11,1,1,1,1,0,0,0.0009765625,0.0009765625,0.96530612244898,0.982161594963274,0.183412447257384,0.987341772151899,0.977035490605428,0.0142857142857143,FALSE
12,1,1,1,1,0,0,0.0009765625,0.0009765625,0.961224489795918,0.9800629590766,0.188554852320675,0.985232067510548,0.974947807933194,0.0183673469387755,FALSE
13,1,6,0.1,1,0,0,0.0009765625,0.0009765625,0.96734693877551,0.983402489626556,0.531909282700422,1,0.96734693877551,0.0163265306122449,FALSE
14,1,6,0.1,1,0,0,0.0009765625,0.0009765625,0.959183673469388,0.978947368421053,0.242088607594937,0.981012658227848,0.976890756302521,0.0326530612244898,FALSE
15,1,6,0.1,1,0,0,0.0009765625,0.0009765625,0.938775510204082,0.968017057569296,0.15835970464135,0.957805907172996,0.978448275862069,0.0571428571428571,FALSE
