"param_comb_id","eta","max_depth","subsample","min_child_weight","colsample_bytree","colsample_bylevel","lambda","alpha","accuracy","f1","auc","recall","precision","discrepancy","default"
1,1,1,0.1,1,0,0,0.0009765625,0.0009765625,0.925196850393701,0.961145194274029,0.302575587905935,1,0.925196850393701,0.0393700787401575,FALSE
2,1,1,0.1,1,0,0,0.0009765625,0.0009765625,0.929133858267717,0.96137339055794,0.100111982082867,0.953191489361702,0.96969696969697,0.0984251968503937,FALSE
3,1,1,0.1,1,0,0,0.0009765625,0.0009765625,0.917322834645669,0.95578947368421,0.116909294512878,0.965957446808511,0.945833333333333,0.062992125984252,FALSE
4,1,1,0.1,1,0,0,0.0009765625,0.0009765625,0.921259842519685,0.957627118644068,0.0797312430011198,0.961702127659574,0.953586497890295,0.0669291338582677,FALSE
5,1,1,0.55,1,0,0,0.0009765625,0.0009765625,0.925196850393701,0.961145194274029,0.297984322508399,1,0.925196850393701,0.0393700787401575,FALSE
6,1,1,0.55,1,0,0,0.0009765625,0.0009765625,0.933070866141732,0.964360587002096,0.0812989921612542,0.978723404255319,0.950413223140496,0.062992125984252,FALSE
7,1,1,0.55,1,0,0,0.0009765625,0.0009765625,0.933070866141732,0.964210526315789,0.0683090705487122,0.974468085106383,0.954166666666667,0.0708661417322835,FALSE
8,1,1,0.55,1,0,0,0.0009765625,0.0009765625,0.921259842519685,0.958333333333333,0.0564389697648376,0.978723404255319,0.938775510204082,0.0590551181102362,FALSE
9,1,1,1,1,0,0,0.0009765625,0.0009765625,0.925196850393701,0.961145194274029,0.351735722284434,1,0.925196850393701,0.0393700787401575,FALSE
10,1,1,1,1,0,0,0.0009765625,0.0009765625,0.921259842519685,0.9581589958159,0.0808510638297873,0.974468085106383,0.94238683127572,0.0511811023622047,FALSE
11,1,1,1,1,0,0,0.0009765625,0.0009765625,0.929133858267717,0.96218487394958,0.0701007838745801,0.974468085106383,0.950207468879668,0.0511811023622047,FALSE
12,1,1,1,1,0,0,0.0009765625,0.0009765625,0.929133858267717,0.96218487394958,0.0734602463605823,0.974468085106383,0.950207468879668,0.0590551181102362,FALSE
13,1,6,0.1,1,0,0,0.0009765625,0.0009765625,0.925196850393701,0.961145194274029,0.348824188129899,1,0.925196850393701,0.0393700787401575,FALSE
14,1,6,0.1,1,0,0,0.0009765625,0.0009765625,0.901574803149606,0.94692144373673,0.124300111982083,0.948936170212766,0.944915254237288,0.0866141732283465,FALSE
15,1,6,0.1,1,0,0,0.0009765625,0.0009765625,0.913385826771654,0.953389830508475,0.105711086226204,0.957446808510638,0.949367088607595,0.0748031496062992,FALSE
16,1,6,0.1,1,0,0,0.0009765625,0.0009765625,0.901574803149606,0.946695095948827,0.156326987681971,0.94468085106383,0.948717948717949,0.0866141732283465,FALSE
17,1,6,0.55,1,0,0,0.0009765625,0.0009765625,0.929133858267717,0.963114754098361,0.151847704367301,1,0.928853754940711,0.0354330708661417,FALSE
18,1,6,0.55,1,0,0,0.0009765625,0.0009765625,0.937007874015748,0.966942148760331,0.0795072788353863,0.995744680851064,0.939759036144578,0.0433070866141732,FALSE
19,1,6,0.55,1,0,0,0.0009765625,0.0009765625,0.933070866141732,0.964656964656965,0.122956326987682,0.987234042553191,0.943089430894309,0.0551181102362205,FALSE
20,1,6,0.55,1,0,0,0.0009765625,0.0009765625,0.929133858267717,0.9625,0.101679731243001,0.982978723404255,0.942857142857143,0.0433070866141732,FALSE
21,1,6,1,1,0,0,0.0009765625,0.0009765625,0.929133858267717,0.963114754098361,0.258902575587906,1,0.928853754940711,0.0354330708661417,FALSE
22,1,6,1,1,0,0,0.0009765625,0.0009765625,0.933070866141732,0.964656964656965,0.0694288913773796,0.987234042553191,0.943089430894309,0.0393700787401575,FALSE
23,1,6,1,1,0,0,0.0009765625,0.0009765625,0.933070866141732,0.964656964656965,0.0548712206047033,0.987234042553191,0.943089430894309,0.0393700787401575,FALSE
24,1,6,1,1,0,0,0.0009765625,0.0009765625,0.933070866141732,0.964948453608247,0.0600223964165734,0.995744680851064,0.936,0.031496062992126,FALSE
