"param_comb_id","eta","max_depth","subsample","min_child_weight","colsample_bytree","colsample_bylevel","lambda","alpha","accuracy","f1","auc","recall","precision","discrepancy","default"
1,1,1,0.1,1,0,0,0.0009765625,0.0009765625,0.605206073752712,0.754054054054054,0.408346134152586,1,0.605206073752712,0.407809110629067,FALSE
2,1,1,0.1,1,0,0,0.0009765625,0.0009765625,0.928416485900217,0.94054054054054,0.0353204143526724,0.935483870967742,0.945652173913043,0.0845986984815618,FALSE
3,1,1,0.1,1,0,0,0.0009765625,0.0009765625,0.919739696312364,0.932604735883424,0.032996573319154,0.917562724014337,0.948148148148148,0.0845986984815618,FALSE
4,1,1,0.1,1,0,0,0.0009765625,0.0009765625,0.913232104121475,0.926739926739927,0.0340403324274292,0.906810035842294,0.947565543071161,0.0997830802603037,FALSE
5,1,1,0.55,1,0,0,0.0009765625,0.0009765625,0.685466377440347,0.773082942097027,0.340462404978534,0.885304659498208,0.686111111111111,0.301518438177874,FALSE
6,1,1,0.55,1,0,0,0.0009765625,0.0009765625,0.941431670281996,0.950998185117967,0.0204419236677301,0.939068100358423,0.963235294117647,0.0759219088937093,FALSE
7,1,1,0.55,1,0,0,0.0009765625,0.0009765625,0.947939262472885,0.956678700361011,0.021830320217417,0.949820788530466,0.963636363636364,0.06941431670282,FALSE
8,1,1,0.55,1,0,0,0.0009765625,0.0009765625,0.941431670281996,0.950998185117967,0.021741699161054,0.939068100358423,0.963235294117647,0.0715835140997831,FALSE
9,1,1,1,1,0,0,0.0009765625,0.0009765625,0.68763557483731,0.752577319587629,0.330487612745677,0.78494623655914,0.722772277227723,0.31236442516269,FALSE
10,1,1,1,1,0,0,0.0009765625,0.0009765625,0.947939262472885,0.956834532374101,0.0177832919768404,0.953405017921147,0.96028880866426,0.0650759219088937,FALSE
11,1,1,1,1,0,0,0.0009765625,0.0009765625,0.947939262472885,0.956678700361011,0.0194867856158179,0.949820788530466,0.963636363636364,0.0780911062906725,FALSE
12,1,1,1,1,0,0,0.0009765625,0.0009765625,0.947939262472885,0.956678700361011,0.0212493599590374,0.949820788530466,0.963636363636364,0.0780911062906725,FALSE
13,1,6,0.1,1,0,0,0.0009765625,0.0009765625,0.6941431670282,0.789865871833085,0.342195438969633,0.949820788530466,0.676020408163265,0.323210412147505,FALSE
14,1,6,0.1,1,0,0,0.0009765625,0.0009765625,0.926247288503254,0.938628158844765,0.0278467052660601,0.931899641577061,0.945454545454545,0.0824295010845987,FALSE
15,1,6,0.1,1,0,0,0.0009765625,0.0009765625,0.908893709327549,0.922794117647059,0.0563629918468628,0.899641577060932,0.947169811320755,0.0997830802603037,FALSE
