"param_comb_id","eta","max_depth","subsample","min_child_weight","colsample_bytree","colsample_bylevel","lambda","alpha","accuracy","f1","auc","recall","precision","discrepancy","default"
1,1,1,0.1,1,0,0,0.0009765625,0.0009765625,0.862,0.925886143931257,0.371162446618918,1,0.862,0.11,FALSE
2,1,1,0.1,1,0,0,0.0009765625,0.0009765625,0.826,0.897526501766785,0.215171996368405,0.883990719257541,0.911483253588517,0.158,FALSE
3,1,1,0.1,1,0,0,0.0009765625,0.0009765625,0.84,0.90498812351544,0.21290224957127,0.883990719257541,0.927007299270073,0.148,FALSE
4,1,1,0.1,1,0,0,0.0009765625,0.0009765625,0.838,0.90635838150289,0.247234271495343,0.909512761020882,0.903225806451613,0.146,FALSE
5,1,1,0.55,1,0,0,0.0009765625,0.0009765625,0.862,0.925886143931257,0.398550724637681,1,0.862,0.11,FALSE
6,1,1,0.55,1,0,0,0.0009765625,0.0009765625,0.872,0.926940639269406,0.185345842160126,0.94199535962877,0.912359550561798,0.108,FALSE
7,1,1,0.55,1,0,0,0.0009765625,0.0009765625,0.868,0.924311926605505,0.215340125760786,0.935034802784223,0.913832199546485,0.12,FALSE
8,1,1,0.55,1,0,0,0.0009765625,0.0009765625,0.862,0.920962199312715,0.216517031507448,0.932714617169374,0.909502262443439,0.122,FALSE
9,1,1,1,1,0,0,0.0009765625,0.0009765625,0.862,0.925886143931257,0.427788425972629,1,0.862,0.11,FALSE
10,1,1,1,1,0,0,0.0009765625,0.0009765625,0.886,0.935005701254276,0.159622045125929,0.951276102088167,0.919282511210762,0.102,FALSE
11,1,1,1,1,0,0,0.0009765625,0.0009765625,0.888,0.935632183908046,0.166010962036383,0.94431554524362,0.927107061503417,0.1,FALSE
12,1,1,1,1,0,0,0.0009765625,0.0009765625,0.886,0.934407364787112,0.168801909949897,0.94199535962877,0.926940639269406,0.098,FALSE
13,1,6,0.1,1,0,0,0.0009765625,0.0009765625,0.856,0.921052631578947,0.414775211002387,0.974477958236659,0.873180873180873,0.124,FALSE
14,1,6,0.1,1,0,0,0.0009765625,0.0009765625,0.858,0.917537746806039,0.18437069168432,0.916473317865429,0.918604651162791,0.13,FALSE
15,1,6,0.1,1,0,0,0.0009765625,0.0009765625,0.806,0.883832335329341,0.220249504018292,0.85614849187935,0.913366336633663,0.182,FALSE
16,1,6,0.1,1,0,0,0.0009765625,0.0009765625,0.856,0.91588785046729,0.221291906251051,0.909512761020882,0.922352941176471,0.132,FALSE
17,1,6,0.55,1,0,0,0.0009765625,0.0009765625,0.862,0.925886143931257,0.439153972897542,1,0.862,0.11,FALSE
18,1,6,0.55,1,0,0,0.0009765625,0.0009765625,0.866,0.924122310305776,0.243350482531356,0.946635730858469,0.902654867256637,0.114,FALSE
19,1,6,0.55,1,0,0,0.0009765625,0.0009765625,0.862,0.922033898305085,0.254043511886748,0.946635730858469,0.898678414096916,0.118,FALSE
20,1,6,0.55,1,0,0,0.0009765625,0.0009765625,0.86,0.920634920634921,0.250411917011332,0.94199535962877,0.900221729490022,0.116,FALSE
21,1,6,1,1,0,0,0.0009765625,0.0009765625,0.86,0.924731182795699,0.40593160496318,0.997679814385151,0.861723446893788,0.112,FALSE
