"param_comb_id","eta","max_depth","subsample","min_child_weight","colsample_bytree","colsample_bylevel","lambda","alpha","accuracy","f1","auc","recall","precision","discrepancy","default"
1,1,1,0.1,1,0,0,0.0009765625,0.0009765625,0.80952380952381,0.894736842105263,0.430882352941176,1,0.80952380952381,0.133333333333333,FALSE
2,1,1,0.1,1,0,0,0.0009765625,0.0009765625,0.723809523809524,0.828402366863905,0.352352941176471,0.823529411764706,0.833333333333333,0.238095238095238,FALSE
3,1,1,0.1,1,0,0,0.0009765625,0.0009765625,0.733333333333333,0.835294117647059,0.265,0.835294117647059,0.835294117647059,0.20952380952381,FALSE
4,1,1,0.1,1,0,0,0.0009765625,0.0009765625,0.761904761904762,0.857142857142857,0.352352941176471,0.88235294117647,0.833333333333333,0.2,FALSE
5,1,1,0.55,1,0,0,0.0009765625,0.0009765625,0.80952380952381,0.894736842105263,0.281470588235294,1,0.80952380952381,0.133333333333333,FALSE
6,1,1,0.55,1,0,0,0.0009765625,0.0009765625,0.838095238095238,0.903954802259887,0.12,0.941176470588235,0.869565217391304,0.142857142857143,FALSE
7,1,1,0.55,1,0,0,0.0009765625,0.0009765625,0.866666666666667,0.922222222222222,0.132352941176471,0.976470588235294,0.873684210526316,0.114285714285714,FALSE
8,1,1,0.55,1,0,0,0.0009765625,0.0009765625,0.847619047619048,0.911111111111111,0.133529411764706,0.964705882352941,0.863157894736842,0.152380952380952,FALSE
9,1,1,1,1,0,0,0.0009765625,0.0009765625,0.80952380952381,0.894736842105263,0.502941176470588,1,0.80952380952381,0.133333333333333,FALSE
10,1,1,1,1,0,0,0.0009765625,0.0009765625,0.857142857142857,0.917127071823204,0.106470588235294,0.976470588235294,0.864583333333333,0.123809523809524,FALSE
11,1,1,1,1,0,0,0.0009765625,0.0009765625,0.876190476190476,0.927374301675978,0.105294117647059,0.976470588235294,0.882978723404255,0.142857142857143,FALSE
12,1,1,1,1,0,0,0.0009765625,0.0009765625,0.866666666666667,0.922222222222222,0.105882352941176,0.976470588235294,0.873684210526316,0.114285714285714,FALSE
13,1,6,0.1,1,0,0,0.0009765625,0.0009765625,0.80952380952381,0.894736842105263,0.488823529411765,1,0.80952380952381,0.133333333333333,FALSE
14,1,6,0.1,1,0,0,0.0009765625,0.0009765625,0.761904761904762,0.860335195530726,0.330588235294118,0.905882352941176,0.819148936170213,0.142857142857143,FALSE
15,1,6,0.1,1,0,0,0.0009765625,0.0009765625,0.80952380952381,0.879518072289157,0.209411764705882,0.858823529411765,0.901234567901235,0.228571428571429,FALSE
