"param_comb_id","eta","max_depth","subsample","min_child_weight","colsample_bytree","colsample_bylevel","lambda","alpha","accuracy","f1","auc","recall","precision","discrepancy","default"
1,1,1,0.1,1,0,0,0.0009765625,0.0009765625,0.661538461538462,0.796296296296296,0.341437632135307,1,0.661538461538462,0.338461538461538,FALSE
2,1,1,0.1,1,0,0,0.0009765625,0.0009765625,0.984615384615385,0.988416988416988,0.00117453605825699,0.992248062015504,0.984615384615385,0.0153846153846154,FALSE
3,1,1,0.1,1,0,0,0.0009765625,0.0009765625,0.969230769230769,0.976923076923077,0.00469814423302795,0.984496124031008,0.969465648854962,0.0307692307692308,FALSE
4,1,1,0.1,1,0,0,0.0009765625,0.0009765625,0.974358974358974,0.980544747081712,0.00246652572233968,0.976744186046512,0.984375,0.0256410256410256,FALSE
5,1,1,0.55,1,0,0,0.0009765625,0.0009765625,0.661538461538462,0.796296296296296,0.418604651162791,1,0.661538461538462,0.338461538461538,FALSE
6,1,1,0.55,1,0,0,0.0009765625,0.0009765625,1,1,0,1,1,0,FALSE
7,1,1,0.55,1,0,0,0.0009765625,0.0009765625,1,1,0,1,1,0,FALSE
8,1,1,0.55,1,0,0,0.0009765625,0.0009765625,1,1,0,1,1,0,FALSE
9,1,1,1,1,0,0,0.0009765625,0.0009765625,0.661538461538462,0.796296296296296,0.337150575522669,1,0.661538461538462,0.338461538461538,FALSE
10,1,1,1,1,0,0,0.0009765625,0.0009765625,1,1,0,1,1,0,FALSE
11,1,1,1,1,0,0,0.0009765625,0.0009765625,1,1,0,1,1,0,FALSE
12,1,1,1,1,0,0,0.0009765625,0.0009765625,1,1,0,1,1,0,FALSE
13,1,6,0.1,1,0,0,0.0009765625,0.0009765625,0.682051282051282,0.772058823529412,0.296217993892412,0.813953488372093,0.734265734265734,0.317948717948718,FALSE
14,1,6,0.1,1,0,0,0.0009765625,0.0009765625,0.856410256410256,0.892307692307692,0.0804557199906037,0.89922480620155,0.885496183206107,0.143589743589744,FALSE
15,1,6,0.1,1,0,0,0.0009765625,0.0009765625,0.856410256410256,0.892307692307692,0.0681230913789053,0.89922480620155,0.885496183206107,0.143589743589744,FALSE
16,1,6,0.1,1,0,0,0.0009765625,0.0009765625,0.907692307692308,0.931297709923664,0.0552031947380785,0.945736434108527,0.917293233082707,0.0923076923076923,FALSE
17,1,6,0.55,1,0,0,0.0009765625,0.0009765625,0.728205128205128,0.827361563517915,0.21041813483674,0.984496124031008,0.713483146067416,0.271794871794872,FALSE
18,1,6,0.55,1,0,0,0.0009765625,0.0009765625,0.938461538461538,0.953846153846154,0.0136246182757811,0.961240310077519,0.946564885496183,0.0615384615384615,FALSE
19,1,6,0.55,1,0,0,0.0009765625,0.0009765625,0.897435897435897,0.924812030075188,0.0261921540991308,0.953488372093023,0.897810218978102,0.102564102564103,FALSE
20,1,6,0.55,1,0,0,0.0009765625,0.0009765625,0.887179487179487,0.916030534351145,0.0307728447263331,0.930232558139535,0.902255639097744,0.112820512820513,FALSE
21,1,6,1,1,0,0,0.0009765625,0.0009765625,0.676923076923077,0.803738317757009,0.19867277425417,1,0.671875,0.323076923076923,FALSE
22,1,6,1,1,0,0,0.0009765625,0.0009765625,0.964102564102564,0.972762645914397,0.00775193798449612,0.968992248062015,0.9765625,0.0358974358974359,FALSE
23,1,6,1,1,0,0,0.0009765625,0.0009765625,0.928205128205128,0.946564885496183,0.0173831336622034,0.961240310077519,0.932330827067669,0.0717948717948718,FALSE
24,1,6,1,1,0,0,0.0009765625,0.0009765625,0.958974358974359,0.968992248062015,0.00458069062720226,0.968992248062015,0.968992248062015,0.041025641025641,FALSE
25,1,15,0.1,1,0,0,0.0009765625,0.0009765625,0.605128205128205,0.715867158671587,0.385658914728682,0.751937984496124,0.683098591549296,0.394871794871795,FALSE
26,1,15,0.1,1,0,0,0.0009765625,0.0009765625,0.815384615384615,0.858267716535433,0.112050739957717,0.844961240310077,0.872,0.184615384615385,FALSE
27,1,15,0.1,1,0,0,0.0009765625,0.0009765625,0.830769230769231,0.868525896414343,0.115926708949965,0.844961240310077,0.89344262295082,0.169230769230769,FALSE
28,1,15,0.1,1,0,0,0.0009765625,0.0009765625,0.846153846153846,0.881889763779527,0.0833920601362462,0.868217054263566,0.896,0.153846153846154,FALSE
29,1,15,0.55,1,0,0,0.0009765625,0.0009765625,0.656410256410256,0.772881355932203,0.340909090909091,0.883720930232558,0.686746987951807,0.343589743589744,FALSE
30,1,15,0.55,1,0,0,0.0009765625,0.0009765625,0.851282051282051,0.892193308550186,0.0505050505050505,0.930232558139535,0.857142857142857,0.148717948717949,FALSE
31,1,15,0.55,1,0,0,0.0009765625,0.0009765625,0.876923076923077,0.907692307692308,0.0428705661263801,0.914728682170543,0.900763358778626,0.123076923076923,FALSE
32,1,15,0.55,1,0,0,0.0009765625,0.0009765625,0.892307692307692,0.920152091254753,0.0380549682875264,0.937984496124031,0.902985074626866,0.107692307692308,FALSE
33,1,15,1,1,0,0,0.0009765625,0.0009765625,0.646153846153846,0.770764119601329,0.344139065069298,0.89922480620155,0.674418604651163,0.353846153846154,FALSE
34,1,15,1,1,0,0,0.0009765625,0.0009765625,0.892307692307692,0.919540229885057,0.0438101949729857,0.930232558139535,0.909090909090909,0.107692307692308,FALSE
35,1,15,1,1,0,0,0.0009765625,0.0009765625,0.917948717948718,0.938931297709924,0.0338266384778013,0.953488372093023,0.924812030075188,0.082051282051282,FALSE
36,1,15,1,1,0,0,0.0009765625,0.0009765625,0.876923076923077,0.908396946564885,0.0411087620389946,0.922480620155039,0.894736842105263,0.123076923076923,FALSE
37,1,1,0.1,11.3137084989848,0,0,0.0009765625,0.0009765625,0.661538461538462,0.796296296296296,0.352713178294574,1,0.661538461538462,0.338461538461538,FALSE
38,1,1,0.1,11.3137084989848,0,0,0.0009765625,0.0009765625,0.784615384615385,0.840909090909091,0.147286821705426,0.86046511627907,0.822222222222222,0.215384615384615,FALSE
39,1,1,0.1,11.3137084989848,0,0,0.0009765625,0.0009765625,0.738461538461539,0.810408921933085,0.196382428940568,0.844961240310077,0.778571428571429,0.261538461538462,FALSE
40,1,1,0.1,11.3137084989848,0,0,0.0009765625,0.0009765625,0.738461538461539,0.806083650190114,0.152454780361757,0.821705426356589,0.791044776119403,0.261538461538462,FALSE
41,1,1,0.55,11.3137084989848,0,0,0.0009765625,0.0009765625,0.661538461538462,0.796296296296296,0.437632135306554,1,0.661538461538462,0.338461538461538,FALSE
