"param_comb_id","eta","max_depth","subsample","min_child_weight","colsample_bytree","colsample_bylevel","lambda","alpha","accuracy","f1","auc","recall","precision","discrepancy","default"
1,1,1,0.1,1,0,0,0.0009765625,0.0009765625,0.721871713985279,0.820373514431239,0.388387817320173,0.984515077424613,0.70314318975553,0.201892744479495,FALSE
2,1,1,0.1,1,0,0,0.0009765625,0.0009765625,0.839642481598318,0.878534448426922,0.108457242898971,0.898940505297473,0.859034267912773,0.137749737118822,FALSE
3,1,1,0.1,1,0,0,0.0009765625,0.0009765625,0.826498422712934,0.867363344051447,0.129945968788675,0.879380603096985,0.855670103092783,0.148790746582545,FALSE
4,1,1,0.1,1,0,0,0.0009765625,0.0009765625,0.814405888538381,0.859642147117296,0.139709619970419,0.881010594947025,0.839285714285714,0.158780231335436,FALSE
5,1,1,0.55,1,0,0,0.0009765625,0.0009765625,0.667718191377497,0.795071335927367,0.254170062483021,0.99918500407498,0.660204631125471,0.254994742376446,FALSE
6,1,1,0.55,1,0,0,0.0009765625,0.0009765625,0.859621451104101,0.89475758770201,0.0905418213649673,0.925020374898125,0.866412213740458,0.114616193480547,FALSE
7,1,1,0.55,1,0,0,0.0009765625,0.0009765625,0.852786540483701,0.889328063241107,0.0946192157928099,0.916870415647922,0.863392171910975,0.118296529968454,FALSE
8,1,1,0.55,1,0,0,0.0009765625,0.0009765625,0.849631966351209,0.88695652173913,0.100907362129856,0.914425427872861,0.861089792785879,0.124605678233438,FALSE
9,1,1,1,1,0,0,0.0009765625,0.0009765625,0.680336487907466,0.799472295514512,0.426305049956232,0.987775061124694,0.671468144044321,0.249737118822292,FALSE
10,1,1,1,1,0,0,0.0009765625,0.0009765625,0.86540483701367,0.899053627760252,0.0844118446074436,0.929095354523227,0.870893812070283,0.106729758149317,FALSE
11,1,1,1,1,0,0,0.0009765625,0.0009765625,0.85751840168244,0.892927696562624,0.0871417791059193,0.920945395273024,0.866564417177914,0.109358569926393,FALSE
12,1,1,1,1,0,0,0.0009765625,0.0009765625,0.85856992639327,0.893885601577909,0.0890120438286697,0.923390383048085,0.866207951070336,0.107255520504732,FALSE
13,1,6,0.1,1,0,0,0.0009765625,0.0009765625,0.712933753943218,0.813141683778234,0.344287482266292,0.968215158924205,0.700884955752212,0.211882229232387,FALSE
14,1,6,0.1,1,0,0,0.0009765625,0.0009765625,0.75446898002103,0.806304437992534,0.196083793655106,0.792176039119804,0.820945945945946,0.233438485804416,FALSE
15,1,6,0.1,1,0,0,0.0009765625,0.0009765625,0.747634069400631,0.8,0.201564188475354,0.78239608801956,0.818414322250639,0.24553101997897,FALSE
16,1,6,0.1,1,0,0,0.0009765625,0.0009765625,0.756572029442692,0.807804068078041,0.197426423978991,0.792991035044825,0.823181049069374,0.230283911671924,FALSE
17,1,6,0.55,1,0,0,0.0009765625,0.0009765625,0.70136698212408,0.801675977653631,0.217145703160373,0.93561532192339,0.701282834453268,0.248685594111462,FALSE
18,1,6,0.55,1,0,0,0.0009765625,0.0009765625,0.799684542586751,0.84766093562575,0.134240091762504,0.863895680521597,0.832025117739403,0.169295478443743,FALSE
