"param_comb_id","eta","max_depth","subsample","min_child_weight","colsample_bytree","colsample_bylevel","lambda","alpha","accuracy","f1","auc","recall","precision","discrepancy","default"
1,1,1,0.1,1,0,0,0.0009765625,0.0009765625,0.975871313672922,0.987788331071913,0.188865147198481,1,0.975871313672922,0.0178731009830206,FALSE
2,1,1,0.1,1,0,0,0.0009765625,0.0009765625,0.974977658623771,0.987237921604376,0.211877628544295,0.991758241758242,0.982758620689655,0.0116175156389634,FALSE
3,1,1,0.1,1,0,0,0.0009765625,0.0009765625,0.976764968722073,0.988138686131387,0.29039479039479,0.991758241758242,0.984545454545455,0.0151921358355675,FALSE
4,1,1,0.1,1,0,0,0.0009765625,0.0009765625,0.976764968722073,0.988127853881279,0.225342558675892,0.990842490842491,0.985428051001822,0.0169794459338695,FALSE
5,1,1,0.55,1,0,0,0.0009765625,0.0009765625,0.975871313672922,0.987788331071913,0.193308234974902,1,0.975871313672922,0.0178731009830206,FALSE
6,1,1,0.55,1,0,0,0.0009765625,0.0009765625,0.980339588918677,0.989981785063752,0.0797042463709131,0.995421245421245,0.984601449275362,0.00804289544235925,FALSE
7,1,1,0.55,1,0,0,0.0009765625,0.0009765625,0.979445933869526,0.989540700318327,0.160120743454077,0.996336996336996,0.982836495031617,0.0107238605898123,FALSE
8,1,1,0.55,1,0,0,0.0009765625,0.0009765625,0.98212689901698,0.990909090909091,0.174637091303758,0.998168498168498,0.983754512635379,0.0098302055406613,FALSE
9,1,1,1,1,0,0,0.0009765625,0.0009765625,0.975871313672922,0.987788331071913,0.181352598019265,1,0.975871313672922,0.0178731009830206,FALSE
10,1,1,1,1,0,0,0.0009765625,0.0009765625,0.984807864164433,0.992255125284738,0.0476190476190477,0.997252747252747,0.987307343608341,0.00536193029490617,FALSE
11,1,1,1,1,0,0,0.0009765625,0.0009765625,0.983914209115281,0.99179580674567,0.0497897164563832,0.996336996336996,0.987295825771325,0.00625558534405719,FALSE
12,1,1,1,1,0,0,0.0009765625,0.0009765625,0.98212689901698,0.990884229717411,0.0638312304978972,0.995421245421245,0.986388384754991,0.00804289544235925,FALSE
13,1,6,0.1,1,0,0,0.0009765625,0.0009765625,0.975871313672922,0.987777274784971,0.312084520417854,0.999084249084249,0.976723366159355,0.0178731009830206,FALSE
14,1,6,0.1,1,0,0,0.0009765625,0.0009765625,0.976764968722073,0.988117001828154,0.247422330755664,0.98992673992674,0.986313868613139,0.0151921358355675,FALSE
15,1,6,0.1,1,0,0,0.0009765625,0.0009765625,0.980339588918677,0.989954337899543,0.258377425044092,0.992673992673993,0.987249544626594,0.0134048257372654,FALSE
16,1,6,0.1,1,0,0,0.0009765625,0.0009765625,0.973190348525469,0.986251145737855,0.255613213946547,0.985347985347985,0.987155963302752,0.0134048257372654,FALSE
17,1,6,0.55,1,0,0,0.0009765625,0.0009765625,0.975871313672922,0.987788331071913,0.143111518111518,1,0.975871313672922,0.0178731009830206,FALSE
18,1,6,0.55,1,0,0,0.0009765625,0.0009765625,0.981233243967828,0.99044151115157,0.183184099850767,0.996336996336996,0.984615384615385,0.00893655049151028,FALSE
19,1,6,0.55,1,0,0,0.0009765625,0.0009765625,0.98212689901698,0.990900818926297,0.204483787817121,0.997252747252747,0.984629294755877,0.0098302055406613,FALSE
20,1,6,0.55,1,0,0,0.0009765625,0.0009765625,0.98212689901698,0.990900818926297,0.18050468050468,0.997252747252747,0.984629294755877,0.0116175156389634,FALSE
21,1,6,1,1,0,0,0.0009765625,0.0009765625,0.980339588918677,0.990027198549411,0.116503866503867,1,0.980251346499102,0.0151921358355675,FALSE
22,1,6,1,1,0,0,0.0009765625,0.0009765625,0.98302055406613,0.991351843422849,0.160731244064577,0.997252747252747,0.98552036199095,0.00714924039320822,FALSE
23,1,6,1,1,0,0,0.0009765625,0.0009765625,0.981233243967828,0.99044151115157,0.185660018993352,0.996336996336996,0.984615384615385,0.00893655049151028,FALSE
24,1,6,1,1,0,0,0.0009765625,0.0009765625,0.983914209115281,0.99179580674567,0.192172025505359,0.996336996336996,0.987295825771325,0.00804289544235925,FALSE
25,1,15,0.1,1,0,0,0.0009765625,0.0009765625,0.975871313672922,0.987788331071913,0.484008275674942,1,0.975871313672922,0.0178731009830206,FALSE
26,1,15,0.1,1,0,0,0.0009765625,0.0009765625,0.977658623771224,0.988558352402746,0.210453127119794,0.989010989010989,0.988106129917658,0.0142984807864164,FALSE
27,1,15,0.1,1,0,0,0.0009765625,0.0009765625,0.971403038427167,0.985347985347985,0.255528422195089,0.985347985347985,0.985347985347985,0.0187667560321716,FALSE
28,1,15,0.1,1,0,0,0.0009765625,0.0009765625,0.978552278820375,0.989041095890411,0.264448514448514,0.991758241758242,0.986338797814208,0.0187667560321716,FALSE
29,1,15,0.55,1,0,0,0.0009765625,0.0009765625,0.975871313672922,0.987777274784971,0.0967643467643468,0.999084249084249,0.976723366159355,0.0160857908847185,FALSE
