"param_comb_id","cost","gamma","kernel","accuracy","f1","auc","recall","precision","balanced_accuracy","discrepancy","default"
1,0.0009765625,0.0009765625,2,0.792849631966351,0.846811819595645,0.820417157173473,0.887530562347188,0.809665427509294,0.887530562347188,0.147739221871714,FALSE
2,0.00160221749220242,0.0009765625,2,0.792849631966351,0.846692607003891,0.820508919677624,0.886715566422168,0.810126582278481,0.886715566422168,0.148790746582545,FALSE
3,0.00262871131373507,0.0009765625,2,0.792849631966351,0.846453624318005,0.82067674846811,0.885085574572127,0.811053024645258,0.885085574572127,0.149842271293375,FALSE
4,0.00431284966278833,0.0009765625,2,0.792849631966351,0.846453624318005,0.820825258836669,0.885085574572127,0.811053024645258,0.885085574572127,0.149842271293375,FALSE
5,0.00707596612706177,0.0009765625,2,0.792849631966351,0.846453624318005,0.820837332850373,0.885085574572127,0.811053024645258,0.885085574572127,0.149842271293375,FALSE
6,0.0116093303838824,0.0009765625,2,0.792849631966351,0.846453624318005,0.820917021340819,0.885085574572127,0.811053024645258,0.885085574572127,0.149842271293375,FALSE
7,0.0190470883469449,0.0009765625,2,0.792849631966351,0.846453624318005,0.821006369042229,0.885085574572127,0.811053024645258,0.885085574572127,0.149842271293375,FALSE
8,0.03125,0.0009765625,2,0.796004206098843,0.85019305019305,0.827365752060129,0.897310513447433,0.807776962582539,0.897310513447433,0.143533123028391,FALSE
9,0.0512709597504774,0.0009765625,2,0.796004206098843,0.850077279752705,0.834531679193456,0.896495517522412,0.808229243203527,0.896495517522412,0.137223974763407,FALSE
10,0.0841187620395223,0.0009765625,2,0.802839116719243,0.854819976771196,0.839907030094479,0.899755501222494,0.814159292035398,0.899755501222494,0.135646687697161,FALSE
11,0.138011189209227,0.0009765625,2,0.797055730809674,0.85061919504644,0.843234628271303,0.895680521597392,0.809874723655122,0.895680521597392,0.14143007360673,FALSE
12,0.226430916065977,0.0009765625,2,0.797581493165089,0.851752021563342,0.846065984484892,0.901385493072535,0.807299270072993,0.901385493072535,0.140904311251314,FALSE
