"param_comb_id","lambda","alpha","accuracy","f1","auc","recall","precision","brier_score","balanced_accuracy","discrepancy","default"
1,0.0009765625,0,0.838095238095238,0.905027932960894,0.857647058823529,0.952941176470588,0.861702127659574,0.112244565977409,0.952941176470588,0.0285714285714286,FALSE
2,0.00107046276643002,0,0.838095238095238,0.905027932960894,0.858823529411765,0.952941176470588,0.861702127659574,0.112176438990326,0.952941176470588,0.0285714285714286,FALSE
3,0.00117339190713652,0,0.838095238095238,0.905027932960894,0.86,0.952941176470588,0.861702127659574,0.112113140344763,0.952941176470588,0.0285714285714286,FALSE
4,0.00128621808334843,0,0.838095238095238,0.905027932960894,0.86,0.952941176470588,0.861702127659574,0.112069658882203,0.952941176470588,0.0285714285714286,FALSE
5,0.00140989293335909,0,0.838095238095238,0.905027932960894,0.861176470588235,0.952941176470588,0.861702127659574,0.112030190268163,0.952941176470588,0.0285714285714286,FALSE
6,0.00154545959916923,0,0.847619047619048,0.910112359550562,0.860588235294118,0.952941176470588,0.870967741935484,0.111980879020959,0.952941176470588,0.0380952380952381,FALSE
7,0.0016940615249229,0,0.847619047619048,0.910112359550562,0.86,0.952941176470588,0.870967741935484,0.111952184716371,0.952941176470588,0.0380952380952381,FALSE
8,0.00185695210134695,0,0.838095238095238,0.905027932960894,0.859411764705882,0.952941176470588,0.861702127659574,0.11191524174415,0.952941176470588,0.0285714285714286,FALSE
9,0.00203550523754075,0,0.828571428571429,0.898876404494382,0.859411764705882,0.941176470588235,0.860215053763441,0.111903030665465,0.941176470588235,0.0380952380952381,FALSE
10,0.00223122694928452,0,0.828571428571429,0.898876404494382,0.858823529411765,0.941176470588235,0.860215053763441,0.111878898057632,0.941176470588235,0.0380952380952381,FALSE
11,0.00244576806160826,0,0.828571428571429,0.898876404494382,0.857058823529412,0.941176470588235,0.860215053763441,0.111862391601981,0.941176470588235,0.0380952380952381,FALSE
12,0.00268093813276197,0,0.828571428571429,0.898876404494382,0.858235294117647,0.941176470588235,0.860215053763441,0.111878955055174,0.941176470588235,0.0380952380952381,FALSE
13,0.00293872071702949,0,0.828571428571429,0.898876404494382,0.859411764705882,0.941176470588235,0.860215053763441,0.11189738441189,0.941176470588235,0.0380952380952381,FALSE
14,0.003221290095121,0,0.828571428571429,0.898876404494382,0.858235294117647,0.941176470588235,0.860215053763441,0.111902181240834,0.941176470588235,0.0380952380952381,FALSE
15,0.00353102961325757,0,0.828571428571429,0.898876404494382,0.857647058823529,0.941176470588235,0.860215053763441,0.111922066808114,0.941176470588235,0.0380952380952381,FALSE
16,0.00387055178562971,0,0.838095238095238,0.905027932960894,0.857058823529412,0.952941176470588,0.861702127659574,0.111954769849983,0.952941176470588,0.0476190476190476,FALSE
17,0.00424272032978517,0,0.838095238095238,0.905027932960894,0.857058823529412,0.952941176470588,0.861702127659574,0.111995993795343,0.952941176470588,0.0476190476190476,FALSE
18,0.00465067432080457,0,0.838095238095238,0.905027932960894,0.857058823529412,0.952941176470588,0.861702127659574,0.112043471981796,0.952941176470588,0.0476190476190476,FALSE
19,0.00509785466799463,0,0.838095238095238,0.905027932960894,0.857647058823529,0.952941176470588,0.861702127659574,0.112107842998007,0.952941176470588,0.0476190476190476,FALSE
20,0.00558803313741795,0,0.838095238095238,0.905027932960894,0.856470588235294,0.952941176470588,0.861702127659574,0.112178813626996,0.952941176470588,0.0476190476190476,FALSE
21,0.00612534416505143,0,0.838095238095238,0.905027932960894,0.858823529411765,0.952941176470588,0.861702127659574,0.112261831954222,0.952941176470588,0.0476190476190476,FALSE
22,0.0067143197289031,0,0.838095238095238,0.905027932960894,0.859411764705882,0.952941176470588,0.861702127659574,0.112360055995085,0.952941176470588,0.0476190476190476,FALSE
23,0.007359927574218,0,0.838095238095238,0.905027932960894,0.859411764705882,0.952941176470588,0.861702127659574,0.112468661685061,0.952941176470588,0.0476190476190476,FALSE
24,0.0080676131141857,0,0.847619047619048,0.911111111111111,0.858235294117647,0.964705882352941,0.863157894736842,0.112585244222736,0.964705882352941,0.0380952380952381,FALSE
25,0.00884334535956309,0,0.847619047619048,0.911111111111111,0.856470588235294,0.964705882352941,0.863157894736842,0.1127063951365,0.964705882352941,0.0380952380952381,FALSE
26,0.00969366726460823,0,0.847619047619048,0.911111111111111,0.856470588235294,0.964705882352941,0.863157894736842,0.112840837380981,0.964705882352941,0.0380952380952381,FALSE
27,0.0106257509139708,0,0.857142857142857,0.917127071823204,0.854705882352941,0.976470588235294,0.864583333333333,0.113000666331403,0.976470588235294,0.0476190476190476,FALSE
28,0.0116474580160159,0,0.857142857142857,0.917127071823204,0.854705882352941,0.976470588235294,0.864583333333333,0.113146386076367,0.976470588235294,0.0476190476190476,FALSE
29,0.0127674062128147,0,0.857142857142857,0.917127071823204,0.854117647058824,0.976470588235294,0.864583333333333,0.113299761054682,0.976470588235294,0.0476190476190476,FALSE
30,0.0139950417660984,0,0.866666666666667,0.923076923076923,0.854117647058824,0.988235294117647,0.865979381443299,0.113466216006435,0.988235294117647,0.0380952380952381,FALSE
31,0.0153407192322471,0,0.866666666666667,0.923076923076923,0.852941176470588,0.988235294117647,0.865979381443299,0.113629633401418,0.988235294117647,0.0380952380952381,FALSE
32,0.0168157887983385,0,0.866666666666667,0.923076923076923,0.85235294117647,0.988235294117647,0.865979381443299,0.1137972509279,0.988235294117647,0.0380952380952381,FALSE
33,0.0184326920158949,0,0.857142857142857,0.918032786885246,0.850588235294118,0.988235294117647,0.857142857142857,0.113973531546112,0.988235294117647,0.0476190476190476,FALSE
