"param_comb_id","num_trees","mtry","min_node_size","sample_fraction","accuracy","f1","auc","recall","precision","balanced_accuracy","discrepancy","default"
1,1,1,1,0.1,0.889763779527559,0.940928270042194,0.553415453527436,0.948936170212766,0.933054393305439,0.948936170212766,0.0590551181102362,FALSE
2,1,6,1,0.1,0.917322834645669,0.956521739130435,0.544120940649496,0.982978723404255,0.931451612903226,0.982978723404255,0.0236220472440945,FALSE
3,1,12,1,0.1,0.901574803149606,0.94692144373673,0.632362821948488,0.948936170212766,0.944915254237288,0.948936170212766,0.062992125984252,FALSE
4,1,18,1,0.1,0.858267716535433,0.923076923076923,0.512206047032475,0.919148936170213,0.927038626609442,0.919148936170213,0.0905511811023622,FALSE
5,1,24,1,0.1,0.901574803149606,0.94824016563147,0.487234042553191,0.974468085106383,0.923387096774194,0.974468085106383,0.0236220472440945,FALSE
6,1,30,1,0.1,0.913385826771654,0.953586497890295,0.638745800671892,0.961702127659574,0.94560669456067,0.961702127659574,0.0511811023622047,FALSE
7,1,36,1,0.1,0.89763779527559,0.94468085106383,0.63023516237402,0.94468085106383,0.94468085106383,0.94468085106383,0.0748031496062992,FALSE
8,1,42,1,0.1,0.901574803149606,0.947807933194154,0.535610302351624,0.965957446808511,0.930327868852459,0.965957446808511,0.031496062992126,FALSE
9,1,48,1,0.1,0.937007874015748,0.966386554621849,0.699888017917133,0.978723404255319,0.954356846473029,0.978723404255319,0.0511811023622047,FALSE
10,1,54,1,0.1,0.885826771653543,0.938947368421053,0.527099664053751,0.948936170212766,0.929166666666667,0.948936170212766,0.062992125984252,FALSE
11,1,60,1,0.1,0.893700787401575,0.94291754756871,0.57973124300112,0.948936170212766,0.936974789915966,0.948936170212766,0.0551181102362205,FALSE
12,1,66,1,0.1,0.89763779527559,0.944915254237288,0.606047032474804,0.948936170212766,0.940928270042194,0.948936170212766,0.0669291338582677,FALSE
13,1,72,1,0.1,0.905511811023622,0.949152542372881,0.634490481522956,0.953191489361702,0.945147679324895,0.953191489361702,0.0669291338582677,FALSE
14,1,1,211,0.1,0.925196850393701,0.961145194274029,0.58006718924972,1,0.925196850393701,1,0.0078740157480315,FALSE
15,1,6,211,0.1,0.925196850393701,0.961145194274029,0.703583426651736,1,0.925196850393701,1,0.0078740157480315,FALSE
16,1,12,211,0.1,0.925196850393701,0.961145194274029,0.619820828667413,1,0.925196850393701,1,0.0078740157480315,FALSE
17,1,18,211,0.1,0.925196850393701,0.960985626283368,0.741769316909294,0.995744680851064,0.928571428571429,0.995744680851064,0.0078740157480315,FALSE
18,1,24,211,0.1,0.889763779527559,0.939655172413793,0.718701007838746,0.927659574468085,0.951965065502183,0.927659574468085,0.0905511811023622,FALSE
19,1,30,211,0.1,0.877952755905512,0.93304535637149,0.778163493840985,0.919148936170213,0.947368421052632,0.919148936170213,0.094488188976378,FALSE
20,1,36,211,0.1,0.925196850393701,0.961145194274029,0.6501679731243,1,0.925196850393701,1,0.0078740157480315,FALSE
21,1,42,211,0.1,0.909448818897638,0.951167728237792,0.660582306830907,0.953191489361702,0.949152542372881,0.953191489361702,0.062992125984252,FALSE
22,1,48,211,0.1,0.925196850393701,0.961145194274029,0.6501679731243,1,0.925196850393701,1,0.0078740157480315,FALSE
23,1,54,211,0.1,0.921259842519685,0.958847736625514,0.598096304591265,0.991489361702128,0.928286852589641,0.991489361702128,0.0118110236220472,FALSE
24,1,60,211,0.1,0.925196850393701,0.961145194274029,0.721612541993281,1,0.925196850393701,1,0.0078740157480315,FALSE
25,1,66,211,0.1,0.925196850393701,0.961145194274029,0.717133258678611,1,0.925196850393701,1,0.0078740157480315,FALSE
26,1,72,211,0.1,0.933070866141732,0.964360587002096,0.757782754759239,0.978723404255319,0.950413223140496,0.978723404255319,0.0393700787401575,FALSE
27,1,1,422,0.1,0.925196850393701,0.961145194274029,0.5,1,0.925196850393701,1,0.0078740157480315,FALSE
28,1,6,422,0.1,0.925196850393701,0.961145194274029,0.5,1,0.925196850393701,1,0.0078740157480315,FALSE
29,1,12,422,0.1,0.925196850393701,0.961145194274029,0.5,1,0.925196850393701,1,0.0078740157480315,FALSE
30,1,18,422,0.1,0.925196850393701,0.961145194274029,0.5,1,0.925196850393701,1,0.0078740157480315,FALSE
31,1,24,422,0.1,0.925196850393701,0.961145194274029,0.5,1,0.925196850393701,1,0.0078740157480315,FALSE
32,1,30,422,0.1,0.925196850393701,0.961145194274029,0.5,1,0.925196850393701,1,0.0078740157480315,FALSE
33,1,36,422,0.1,0.925196850393701,0.961145194274029,0.5,1,0.925196850393701,1,0.0078740157480315,FALSE
34,1,42,422,0.1,0.925196850393701,0.961145194274029,0.5,1,0.925196850393701,1,0.0078740157480315,FALSE
35,1,48,422,0.1,0.925196850393701,0.961145194274029,0.5,1,0.925196850393701,1,0.0078740157480315,FALSE
36,1,54,422,0.1,0.925196850393701,0.961145194274029,0.5,1,0.925196850393701,1,0.0078740157480315,FALSE
37,1,60,422,0.1,0.925196850393701,0.961145194274029,0.5,1,0.925196850393701,1,0.0078740157480315,FALSE
38,1,66,422,0.1,0.925196850393701,0.961145194274029,0.5,1,0.925196850393701,1,0.0078740157480315,FALSE
39,1,72,422,0.1,0.925196850393701,0.961145194274029,0.5,1,0.925196850393701,1,0.0078740157480315,FALSE
40,1,1,634,0.1,0.925196850393701,0.961145194274029,0.5,1,0.925196850393701,1,0.0078740157480315,FALSE
41,1,6,634,0.1,0.925196850393701,0.961145194274029,0.5,1,0.925196850393701,1,0.0078740157480315,FALSE
42,1,12,634,0.1,0.925196850393701,0.961145194274029,0.5,1,0.925196850393701,1,0.0078740157480315,FALSE
43,1,18,634,0.1,0.925196850393701,0.961145194274029,0.5,1,0.925196850393701,1,0.0078740157480315,FALSE
44,1,24,634,0.1,0.925196850393701,0.961145194274029,0.5,1,0.925196850393701,1,0.0078740157480315,FALSE
45,1,30,634,0.1,0.925196850393701,0.961145194274029,0.5,1,0.925196850393701,1,0.0078740157480315,FALSE
46,1,36,634,0.1,0.925196850393701,0.961145194274029,0.5,1,0.925196850393701,1,0.0078740157480315,FALSE
47,1,42,634,0.1,0.925196850393701,0.961145194274029,0.5,1,0.925196850393701,1,0.0078740157480315,FALSE
48,1,48,634,0.1,0.925196850393701,0.961145194274029,0.5,1,0.925196850393701,1,0.0078740157480315,FALSE
49,1,54,634,0.1,0.925196850393701,0.961145194274029,0.5,1,0.925196850393701,1,0.0078740157480315,FALSE
50,1,60,634,0.1,0.925196850393701,0.961145194274029,0.5,1,0.925196850393701,1,0.0078740157480315,FALSE
51,1,66,634,0.1,0.925196850393701,0.961145194274029,0.5,1,0.925196850393701,1,0.0078740157480315,FALSE
52,1,72,634,0.1,0.925196850393701,0.961145194274029,0.5,1,0.925196850393701,1,0.0078740157480315,FALSE
53,1,1,845,0.1,0.925196850393701,0.961145194274029,0.5,1,0.925196850393701,1,0.0078740157480315,FALSE
54,1,6,845,0.1,0.925196850393701,0.961145194274029,0.5,1,0.925196850393701,1,0.0078740157480315,FALSE
55,1,12,845,0.1,0.925196850393701,0.961145194274029,0.5,1,0.925196850393701,1,0.0078740157480315,FALSE
56,1,18,845,0.1,0.925196850393701,0.961145194274029,0.5,1,0.925196850393701,1,0.0078740157480315,FALSE
57,1,24,845,0.1,0.925196850393701,0.961145194274029,0.5,1,0.925196850393701,1,0.0078740157480315,FALSE
58,1,30,845,0.1,0.925196850393701,0.961145194274029,0.5,1,0.925196850393701,1,0.0078740157480315,FALSE
59,1,36,845,0.1,0.925196850393701,0.961145194274029,0.5,1,0.925196850393701,1,0.0078740157480315,FALSE
60,1,42,845,0.1,0.925196850393701,0.961145194274029,0.5,1,0.925196850393701,1,0.0078740157480315,FALSE
61,1,48,845,0.1,0.925196850393701,0.961145194274029,0.5,1,0.925196850393701,1,0.0078740157480315,FALSE
62,1,54,845,0.1,0.925196850393701,0.961145194274029,0.5,1,0.925196850393701,1,0.0078740157480315,FALSE
63,1,60,845,0.1,0.925196850393701,0.961145194274029,0.5,1,0.925196850393701,1,0.0078740157480315,FALSE
64,1,66,845,0.1,0.925196850393701,0.961145194274029,0.5,1,0.925196850393701,1,0.0078740157480315,FALSE
65,1,72,845,0.1,0.925196850393701,0.961145194274029,0.5,1,0.925196850393701,1,0.0078740157480315,FALSE
66,1,1,1056,0.1,0.925196850393701,0.961145194274029,0.5,1,0.925196850393701,1,0.0078740157480315,FALSE
67,1,6,1056,0.1,0.925196850393701,0.961145194274029,0.5,1,0.925196850393701,1,0.0078740157480315,FALSE
68,1,12,1056,0.1,0.925196850393701,0.961145194274029,0.5,1,0.925196850393701,1,0.0078740157480315,FALSE
69,1,18,1056,0.1,0.925196850393701,0.961145194274029,0.5,1,0.925196850393701,1,0.0078740157480315,FALSE
70,1,24,1056,0.1,0.925196850393701,0.961145194274029,0.5,1,0.925196850393701,1,0.0078740157480315,FALSE
71,1,30,1056,0.1,0.925196850393701,0.961145194274029,0.5,1,0.925196850393701,1,0.0078740157480315,FALSE
72,1,36,1056,0.1,0.925196850393701,0.961145194274029,0.5,1,0.925196850393701,1,0.0078740157480315,FALSE
73,1,42,1056,0.1,0.925196850393701,0.961145194274029,0.5,1,0.925196850393701,1,0.0078740157480315,FALSE
74,1,48,1056,0.1,0.925196850393701,0.961145194274029,0.5,1,0.925196850393701,1,0.0078740157480315,FALSE
75,1,54,1056,0.1,0.925196850393701,0.961145194274029,0.5,1,0.925196850393701,1,0.0078740157480315,FALSE
76,1,60,1056,0.1,0.925196850393701,0.961145194274029,0.5,1,0.925196850393701,1,0.0078740157480315,FALSE
77,1,66,1056,0.1,0.925196850393701,0.961145194274029,0.5,1,0.925196850393701,1,0.0078740157480315,FALSE
78,1,72,1056,0.1,0.925196850393701,0.961145194274029,0.5,1,0.925196850393701,1,0.0078740157480315,FALSE
79,1,1,1267,0.1,0.925196850393701,0.961145194274029,0.5,1,0.925196850393701,1,0.0078740157480315,FALSE
