"param_comb_id","num_trees","mtry","min_node_size","sample_fraction","accuracy","f1","auc","recall","precision","balanced_accuracy","discrepancy","default"
1,1,1,1,0.1,0.802389705882353,0.887962480458572,0.515226317064042,0.965986394557823,0.821600771456123,0.965986394557823,0.078125,FALSE
2,1,2,1,0.1,0.732536764705882,0.835686053077357,0.552872443475772,0.839002267573696,0.832395950506187,0.839002267573696,0.188419117647059,FALSE
3,1,4,1,0.1,0.713235294117647,0.817116060961313,0.58909583250776,0.790249433106576,0.845873786407767,0.790249433106576,0.238970588235294,FALSE
4,1,5,1,0.1,0.72702205882353,0.833052276559865,0.537186557470885,0.840136054421769,0.826086956521739,0.840136054421769,0.186580882352941,FALSE
5,1,7,1,0.1,0.72610294117647,0.832018038331454,0.556609537018691,0.836734693877551,0.827354260089686,0.836734693877551,0.191176470588235,FALSE
6,1,9,1,0.1,0.72702205882353,0.832676056338028,0.547976795896352,0.837868480725624,0.827547592385218,0.837868480725624,0.197610294117647,FALSE
7,1,10,1,0.1,0.703125,0.813832853025937,0.527125575149153,0.800453514739229,0.827667057444314,0.800453514739229,0.225183823529412,FALSE
8,1,12,1,0.1,0.717830882352941,0.824068767908309,0.556182990995751,0.815192743764172,0.833140208574739,0.815192743764172,0.212316176470588,FALSE
9,1,14,1,0.1,0.700367647058823,0.811560693641619,0.542406930409704,0.795918367346939,0.827830188679245,0.795918367346939,0.229779411764706,FALSE
10,1,16,1,0.1,0.712316176470588,0.820630372492837,0.545161592144949,0.811791383219955,0.829663962920046,0.811791383219955,0.203125,FALSE
11,1,18,1,0.1,0.709558823529412,0.819840364880274,0.53597021332805,0.815192743764172,0.82454128440367,0.815192743764172,0.204044117647059,FALSE
12,1,19,1,0.1,0.733455882352941,0.83275663206459,0.592012856922704,0.81859410430839,0.847417840375587,0.81859410430839,0.216911764705882,FALSE
13,1,21,1,0.1,0.704963235294118,0.81260945709282,0.56688792021663,0.789115646258503,0.837545126353791,0.789115646258503,0.219669117647059,FALSE
14,1,1,907,0.1,0.810661764705882,0.895431472081218,0.578099200845387,1,0.810661764705882,1,0.0588235294117647,FALSE
15,1,2,907,0.1,0.810661764705882,0.895431472081218,0.611589943420734,1,0.810661764705882,1,0.0588235294117647,FALSE
16,1,4,907,0.1,0.810661764705882,0.895431472081218,0.591484490236224,1,0.810661764705882,1,0.0588235294117647,FALSE
17,1,5,907,0.1,0.800551470588235,0.884880636604775,0.626978623164476,0.945578231292517,0.831505483549352,0.945578231292517,0.0891544117647059,FALSE
18,1,7,907,0.1,0.794117647058823,0.879957127545552,0.569788433172622,0.930839002267574,0.834349593495935,0.930839002267574,0.0882352941176471,FALSE
19,1,9,907,0.1,0.803308823529412,0.886411889596603,0.568016203245052,0.94671201814059,0.833333333333333,0.94671201814059,0.0753676470588235,FALSE
20,1,10,907,0.1,0.806985294117647,0.888535031847134,0.574004359025163,0.948979591836735,0.835329341317365,0.948979591836735,0.0808823529411765,FALSE
21,1,12,907,0.1,0.810661764705882,0.895431472081218,0.572463289522929,1,0.810661764705882,1,0.0588235294117647,FALSE
22,1,14,907,0.1,0.810661764705882,0.895431472081218,0.655703057922198,1,0.810661764705882,1,0.0588235294117647,FALSE
23,1,16,907,0.1,0.810661764705882,0.895431472081218,0.583129692006252,1,0.810661764705882,1,0.0588235294117647,FALSE
24,1,18,907,0.1,0.810661764705882,0.895431472081218,0.639009972921207,1,0.810661764705882,1,0.0588235294117647,FALSE
25,1,19,907,0.1,0.810661764705882,0.895431472081218,0.65499306518724,1,0.810661764705882,1,0.0588235294117647,FALSE
26,1,21,907,0.1,0.810661764705882,0.895431472081218,0.638690751381459,1,0.810661764705882,1,0.0588235294117647,FALSE
27,1,1,1813,0.1,0.810661764705882,0.895431472081218,0.5,1,0.810661764705882,1,0.0588235294117647,FALSE
28,1,2,1813,0.1,0.810661764705882,0.895431472081218,0.5,1,0.810661764705882,1,0.0588235294117647,FALSE
29,1,4,1813,0.1,0.810661764705882,0.895431472081218,0.5,1,0.810661764705882,1,0.0588235294117647,FALSE
30,1,5,1813,0.1,0.810661764705882,0.895431472081218,0.5,1,0.810661764705882,1,0.0588235294117647,FALSE
31,1,7,1813,0.1,0.810661764705882,0.895431472081218,0.5,1,0.810661764705882,1,0.0588235294117647,FALSE
32,1,9,1813,0.1,0.810661764705882,0.895431472081218,0.5,1,0.810661764705882,1,0.0588235294117647,FALSE
33,1,10,1813,0.1,0.810661764705882,0.895431472081218,0.5,1,0.810661764705882,1,0.0588235294117647,FALSE
34,1,12,1813,0.1,0.810661764705882,0.895431472081218,0.5,1,0.810661764705882,1,0.0588235294117647,FALSE
35,1,14,1813,0.1,0.810661764705882,0.895431472081218,0.5,1,0.810661764705882,1,0.0588235294117647,FALSE
36,1,16,1813,0.1,0.810661764705882,0.895431472081218,0.5,1,0.810661764705882,1,0.0588235294117647,FALSE
37,1,18,1813,0.1,0.810661764705882,0.895431472081218,0.5,1,0.810661764705882,1,0.0588235294117647,FALSE
38,1,19,1813,0.1,0.810661764705882,0.895431472081218,0.5,1,0.810661764705882,1,0.0588235294117647,FALSE
39,1,21,1813,0.1,0.810661764705882,0.895431472081218,0.5,1,0.810661764705882,1,0.0588235294117647,FALSE
40,1,1,2720,0.1,0.810661764705882,0.895431472081218,0.5,1,0.810661764705882,1,0.0588235294117647,FALSE
41,1,2,2720,0.1,0.810661764705882,0.895431472081218,0.5,1,0.810661764705882,1,0.0588235294117647,FALSE
